Symbol,Company,EV,SharesOutstanding,Price,PriceChange,Sector,Industry
MCK,McKesson Corporation,55249059840,136939008,356.4100036621094,-1.2714671296095914,Healthcare,Medical Distribution
MDT,Medtronic plc,137212133376,1330419968,90.5,0.2992352875983553,Healthcare,Medical Devices
MRK,"Merck & Co., Inc.",318134681600,2537690112,118.66500091552734,0.6573932611140412,Healthcare,Drug Manufacturers—General
MET,"MetLife, Inc.",118603341824,774361984,60.2400016784668,1.3629508303328237,Financial Services,Insurance—Life
MTD,Mettler-Toledo International Inc.,35249033216,22070100,1495.0400390625,-0.49584096649561793,Healthcare,Diagnostics & Research
MGM,MGM Resorts International,44784807936,363799008,45.040000915527344,-1.980411500484568,Consumer Cyclical,Resorts & Casinos
MCHP,Microchip Technology Incorporated,48031723520,547795968,76.37999725341797,0.34156234027583315,Technology,Semiconductors
MU,"Micron Technology, Inc.",69869010944,1094390016,61.630001068115234,-0.4361856734810407,Technology,Semiconductors
MSFT,Microsoft Corporation,2245765365760,7435489792,304.9100036621094,-0.16371315212031368,Technology,Software—Infrastructure
MAA,"Mid-America Apartment Communities, Inc.",21991462912,116660000,150.48500061035156,0.1897474103539107,Real Estate,REIT—Residential
MRNA,"Moderna, Inc.",42063024128,385678016,130.91000366210938,-0.37290436673563976,Healthcare,Biotechnology
MHK,"Mohawk Industries, Inc.",9594972160,63679600,102.20999908447266,1.127930231000953,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TAP,Molson Coors Beverage Company,19406594048,200352992,64.79499816894531,-0.4379253703974889,Consumer Defensive,Beverages—Brewers
MDLZ,"Mondelez International, Inc.",124272328704,1361849984,77.1500015258789,-0.5798949408776909,Consumer Defensive,Confectioners
MPWR,"Monolithic Power Systems, Inc.",21581584384,47305000,461.92999267578125,-1.3244199953471782,Technology,Semiconductors
MNST,Monster Beverage Corporation,56756170752,1044819968,57.98500061035156,0.7733761041911077,Consumer Defensive,Beverages—Non-Alcoholic
MCO,Moody's Corporation,63565189120,183500000,307.42999267578125,0.5428893206597338,Financial Services,Financial Data & Stock Exchanges
MS,Morgan Stanley,-33340700672,1670000000,86.98999786376953,0.8112155102207961,Financial Services,Capital Markets
MSI,"Motorola Solutions, Inc.",54272032768,167250000,291.7049865722656,-0.4963205852552872,Technology,Communication Equipment
MSCI,MSCI Inc.,42256699392,80063400,471.3599853515625,0.6126033323149888,Financial Services,Financial Data & Stock Exchanges
NDAQ,"Nasdaq, Inc.",31961995264,489003008,54.33000183105469,0.11056169348569074,Financial Services,Financial Data & Stock Exchanges
NTAP,"NetApp, Inc.",12854290432,213904992,62.65999984741211,0.6909848102396152,Technology,Computer Hardware
NFLX,"Netflix, Inc.",150291021824,444540992,319.760009765625,0.6959564684695287,Communication Services,Entertainment
NWL,Newell Brands Inc.,10562420736,414100000,10.420000076293945,0.5791513155786282,Consumer Defensive,Household & Personal Products
NEM,Newmont Corporation,40990867456,794712000,47.959999084472656,-0.20807514674853522,Basic Materials,Gold
NWSA,News Corporation,13825264640,381120000,17.094999313354492,0.6772633295317536,Communication Services,Entertainment
NWS,News Corporation,13917361152,192628992,17.225000381469727,0.6721237958487851,Communication Services,Entertainment
NEE,"NextEra Energy, Inc.",232107655168,2023420032,75.7300033569336,-0.2765296853652936,Utilities,Utilities—Regulated Electric
NKE,"NIKE, Inc.",198375604224,1245670016,125.7699966430664,-1.170834006705641,Consumer Cyclical,Footwear & Accessories
NI,NiSource Inc.,24697397248,412983008,27.979999542236328,0.25080452252356855,Utilities,Utilities—Regulated Gas
NSC,Norfolk Southern Corporation,61383438336,227640000,205.82749938964844,0.9502670016422833,Industrials,Railroads
NTRS,Northern Trust Corporation,35501985792,208342000,74.83499908447266,0.3015669273189342,Financial Services,Asset Management
NOC,Northrop Grumman Corporation,81850040320,151859008,448.239990234375,-0.12700469366212924,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings Ltd.,18525317120,424159008,14.489999771118164,0.8350714761180574,Consumer Cyclical,Travel Services
NRG,"NRG Energy, Inc.",15530375168,232270000,33.404998779296875,0.22501883977460757,Utilities,Utilities—Independent Power Producers
NUE,Nucor Corporation,39752151040,251000000,148.9600067138672,1.6375591661211688,Basic Materials,Steel
NVDA,NVIDIA Corporation,712812003328,2470000128,279.1099853515625,-1.0599130267414116,Technology,Semiconductors
NVR,"NVR, Inc.",17310136320,3241750,5956.10986328125,1.1815026650751812,Consumer Cyclical,Residential Construction
NXPI,NXP Semiconductors N.V.,44510175232,259735008,167.6699981689453,-2.2389375727681644,Technology,Semiconductors
ORLY,"O'Reilly Automotive, Inc.",64261976064,61038900,930.3300170898438,-0.6609557628407542,Consumer Cyclical,Specialty Retail
OXY,Occidental Petroleum Corporation,83583352832,898115008,59.58000183105469,-0.766152846344623,Energy,Oil & Gas E&P
ODFL,"Old Dominion Freight Line, Inc.",34566352896,109950000,321.8999938964844,2.0058921622728336,Industrials,Trucking
OMC,Omnicom Group Inc.,22437269504,199515008,91.43000030517578,0.42838346350590395,Communication Services,Advertising Agencies
OKE,"ONEOK, Inc.",41561903104,447440000,62.54499816894531,-0.310809421508909,Energy,Oil & Gas Midstream
ORCL,Oracle Corporation,339681214464,2699800064,94.7750015258789,-0.02636969843996931,Technology,Software—Infrastructure
OGN,Organon & Co.,14638376960,255062000,24.28499984741211,0.9351614605657135,Healthcare,Drug Manufacturers—General
OTIS,Otis Worldwide Corporation,41843511296,413291008,86.3499984741211,0.10433396026094206,Industrials,Specialty Industrial Machinery
PCAR,PACCAR Inc,45359919104,522555008,72.91500091552734,0.6696133032270287,Industrials,Farm & Heavy Construction Machinery
PKG,Packaging Corporation of America,14278858752,89883600,135.02000427246094,1.1007145432129735,Consumer Cyclical,Packaging & Containers
PH,Parker-Hannifin Corporation,55245074432,128266000,327.6499938964844,0.8091790955893156,Industrials,Specialty Industrial Machinery
PAYX,"Paychex, Inc.",38103998464,360467008,108.54000091552734,0.8736067988172393,Industrials,Staffing & Employment Services
PAYC,"Paycom Software, Inc.",16889083904,60305900,292.6000061035156,1.3333354471049783,Technology,Software—Application
PYPL,"PayPal Holdings, Inc.",82462662656,1122809984,72.12999725341797,-0.2075300865827786,Financial Services,Credit Services
PENN,"PENN Entertainment, Inc.",15884952576,154148992,30.729999542236328,0.8202084719039623,Consumer Cyclical,Resorts & Casinos
PNR,Pentair plc,11994175488,164950000,58.290000915527344,0.7605893094681803,Industrials,Specialty Industrial Machinery
PEP,"PepsiCo, Inc.",300772229120,1377689984,192.5,0.13003901170351106,Consumer Defensive,Beverages—Non-Alcoholic
PKI,"PerkinElmer, Inc.",20414117888,126412000,129.1999969482422,0.3651028884037892,Healthcare,Diagnostics & Research
PFE,Pfizer Inc.,219481047040,5644400128,38.76499938964844,-0.7552498984935094,Healthcare,Drug Manufacturers—General
PM,Philip Morris International Inc.,200774746112,1552199936,96.74500274658203,-0.17025823281185157,Consumer Defensive,Tobacco
PSX,Phillips 66,62344462336,460912992,94.04750061035156,-0.7204680562107478,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital Corporation,17861031936,113251000,78.73500061035156,0.3760844089132646,Utilities,Utilities—Regulated Electric
PXD,Pioneer Natural Resources Company,53956931584,233736000,207.15499877929688,-1.124051940577116,Energy,Oil & Gas E&P
PNC,"The PNC Financial Services Group, Inc.",101083856896,399681984,119.23999786376953,0.08393307350136871,Financial Services,Banks—Regional
POOL,Pool Corporation,15160254464,39038200,357.9200134277344,3.1796861909349903,Industrials,Industrial Distribution
PPG,"PPG Industries, Inc.",39642746880,235358000,139.8699951171875,0.1934062444036574,Basic Materials,Specialty Chemicals
PPL,PPL Corporation,35200221184,737056000,28.510000228881836,0.0350885223924068,Utilities,Utilities—Regulated Electric
PFG,"Principal Financial Group, Inc.",17687339008,243100000,72.01000213623047,1.009962317618828,Financial Services,Asset Management
PG,The Procter & Gamble Company,398798716928,2356969984,156.35499572753906,-0.04794749885632188,Consumer Defensive,Household & Personal Products
PGR,The Progressive Corporation,83496058880,585366016,122.95999908447266,-4.169589989499919,Financial Services,Insurance—Property & Casualty
PLD,"Prologis, Inc.",142344749056,923449984,122.77999877929688,0.24493695239783722,Real Estate,REIT—Industrial
PRU,"Prudential Financial, Inc.",38870458368,366974016,84.06999969482422,0.6344262566725071,Financial Services,Insurance—Life
PTC,PTC Inc.,16654673920,118263000,124.91000366210938,-0.2953355187504998,Technology,Software—Application
PEG,Public Service Enterprise Group Incorporated,51494330368,498769984,63.18000030517578,0.5890786581368873,Utilities,Utilities—Regulated Electric
PSA,Public Storage,61963841536,175795008,282.6700134277344,-1.443459632601941,Real Estate,REIT—Industrial
PHM,"PulteGroup, Inc.",15855249408,223224000,66.7300033569336,1.459637155136989,Consumer Cyclical,Residential Construction
PVH,PVH Corp.,8564669440,62712800,84.03500366210938,-0.08916459147619123,Consumer Cyclical,Apparel Manufacturing
QRVO,"Qorvo, Inc.",10462085120,99889200,94.16000366210938,0.7813375383809998,Technology,Semiconductors
QCOM,QUALCOMM Incorporated,137800597504,1115000064,114.87999725341797,-1.0593426462682205,Technology,Semiconductors
PWR,"Quanta Services, Inc.",27771709440,145160000,169.6300048828125,0.898170879617235,Industrials,Engineering & Construction
DGX,Quest Diagnostics Incorporated,20031590400,112009000,137.3699951171875,-0.5358083287325418,Healthcare,Diagnostics & Research
RL,Ralph Lauren Corporation,8626754560,41098100,113.26000213623047,0.6755574544270834,Consumer Cyclical,Apparel Manufacturing
RJF,"Raymond James Financial, Inc.",10574216192,211600000,87.06500244140625,0.5950345943457571,Financial Services,Capital Markets
RTX,Raytheon Technologies Corporation,176374710272,1461139968,98.17009735107422,-0.7079019408574753,Industrials,Aerospace & Defense
O,Realty Income Corporation,59173437440,660521024,61.29499816894531,-0.15475131300649628,Real Estate,REIT—Retail
REG,Regency Centers Corporation,14308378624,171308000,60.18000030517578,0.31671996195329094,Real Estate,REIT—Retail
REGN,"Regeneron Pharmaceuticals, Inc.",81056718848,107507000,803.239990234375,0.5999111070668113,Healthcare,Biotechnology
RF,Regions Financial Corporation,13832399872,935000000,16.940000534057617,1.7417449492950068,Financial Services,Banks—Regional
RSG,"Republic Services, Inc.",58019713024,316281984,145.5399932861328,0.4001057437450362,Industrials,Waste Management
RMD,ResMed Inc.,36150894592,146931008,236.6011962890625,0.28023916633996027,Healthcare,Medical Instruments & Supplies
RHI,Robert Half International Inc.,7097892864,107837000,70.27999877929688,-0.9722435123335548,Industrials,Staffing & Employment Services
ROK,"Rockwell Automation, Inc.",36205314048,114875000,280.45001220703125,0.5125124389044757,Industrials,Specialty Industrial Machinery
ROL,"Rollins, Inc.",20556488704,492787008,41.834999084472656,0.05979211784896909,Consumer Cyclical,Personal Services
ROP,"Roper Technologies, Inc.",54234669056,106535000,459.364990234375,-0.29410699896358466,Technology,Software—Application
ROST,"Ross Stores, Inc.",37326192640,342048000,105.01000213623047,0.22907524695091414,Consumer Cyclical,Apparel Retail
RCL,Royal Caribbean Cruises Ltd.,39374282752,255732000,68.3499984741211,0.7963404720853731,Consumer Cyclical,Travel Services
SPGI,S&P Global Inc.,128655212544,320800000,356.07000732421875,0.014046212072009491,Financial Services,Financial Data & Stock Exchanges
CRM,"Salesforce, Inc.",196210999296,979022976,194.63999938964844,0.41271119977735976,Technology,Software—Application
SBAC,SBA Communications Corporation,41766154240,108322000,243.38999938964844,-1.4575491357348764,Real Estate,REIT—Specialty
SLB,Schlumberger Limited,76750782464,1425330048,45.52000045776367,-1.42918913433592,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology Holdings plc,17322743808,207082000,56.90999984741211,0.10554062869324178,Technology,Computer Hardware
SEE,Sealed Air Corporation,10187442176,144384992,42.0,-1.5932521087160256,Consumer Cyclical,Packaging & Containers
SRE,Sempra Energy,81783545856,314649984,152.63999938964844,-0.3655356464435713,Utilities,Utilities—Diversified
NOW,"ServiceNow, Inc.",89090531328,203740000,445.2550048828125,0.35498667571504083,Technology,Software—Application
SHW,The Sherwin-Williams Company,72387698688,257890000,232.64999389648438,0.33206567900827133,Basic Materials,Specialty Chemicals
SPG,"Simon Property Group, Inc.",62196080640,326732000,109.91000366210938,-1.909858400616352,Real Estate,REIT—Retail
SWKS,"Skyworks Solutions, Inc.",18211602432,159152992,106.2300033569336,0.7874794657813927,Technology,Semiconductors
SNA,Snap-on Incorporated,14350756864,52931800,263.44000244140625,0.5189264504755289,Industrials,Tools & Accessories
SO,The Southern Company,143293939712,1090400000,73.36869812011719,0.2989721395997017,Utilities,Utilities—Regulated Electric
